"","ensembl_transcript_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"4105","ENSRNOT00000014180","Car3",-9.14524456259723,11.0805582006035,1630.16207848775,7.05380414588137e-08,0.00025248026306942
"11578","ENSRNOT00000047126","Abcb1b",7.37195144359763,9.38920284657612,1521.3752025434,8.48643702485567e-08,0.00025248026306942
"6702","ENSRNOT00000022496","Amy1a",-4.54269047672136,6.10655905914417,1507.17852223435,8.70211501757822e-08,0.00025248026306942
"3595","ENSRNOT00000012500","Serpina6",-5.02828130290403,8.11902683912954,1463.54324988378,9.41408035243973e-08,0.00025248026306942
"786","ENSRNOT00000002576","Prodh",-4.60972517526818,6.12823329452417,1461.13152122143,9.45572942486573e-08,0.00025248026306942
"14287","ENSRNOT00000065791","Pklr",-5.87380808180428,7.80340890113916,1430.40177107503,1.00092788061403e-07,0.00025248026306942
"14055","ENSRNOT00000065021","E9PSI7_RAT",-4.86335006618463,8.33448989438465,1280.83550087169,1.34509645940845e-07,0.00025248026306942
"1718","ENSRNOT00000005875","Rdh7",-4.23415235341381,8.63690029258661,1265.35346160632,1.38957944347364e-07,0.00025248026306942
"13604","ENSRNOT00000061904","C8g",-3.77854278497734,6.55931118168076,1202.88931174777,1.59110081022421e-07,0.00025248026306942
"5097","ENSRNOT00000017310","Cyp2c11",-7.61305975385267,10.6000169225394,1173.71833919885,1.69908252374874e-07,0.00025248026306942
"1366","ENSRNOT00000004686","Otc",-3.60397200536816,8.05748479137707,979.102835840249,2.75877694343132e-07,0.00025248026306942
"4577","ENSRNOT00000015723","Mbl1",-3.44957574914303,7.15841551833283,974.153897939016,2.79639094188375e-07,0.00025248026306942
"6640","ENSRNOT00000022307","Gnmt",-6.38103018359181,6.84807480400519,952.418013568991,2.97020101180326e-07,0.00025248026306942
"6479","ENSRNOT00000021812","Ces1d",-5.90588271290748,8.38057473103135,949.542779502549,2.99429414724434e-07,0.00025248026306942
"5687","ENSRNOT00000019298","Cdh13",7.17260831102268,5.18147093997959,941.382729539989,3.06414965095308e-07,0.00025248026306942
"11080","ENSRNOT00000043908","Apon",-3.85644365400075,6.55674009670944,936.918365076566,3.10331659306033e-07,0.00025248026306942
"14338","ENSRNOT00000065978","DHTK1_RAT",-4.11983583909713,6.85592369427901,928.838564752351,3.1759687024344e-07,0.00025248026306942
"7225","ENSRNOT00000024196","Gpld1",-3.66174653199591,7.51417644531331,897.053605383914,3.48557822650889e-07,0.00025248026306942
"4122","ENSRNOT00000014235","Acsl1",-3.94393957619826,10.658381238467,894.527663089222,3.51193237245629e-07,0.00025248026306942
"2683","ENSRNOT00000009461","Q5M9I7_RAT",-5.15974601476839,4.58750586448199,883.547213378428,3.62973060147548e-07,0.00025248026306942
"9000","ENSRNOT00000030135","Cabc1",-4.40869938025074,8.12115980740687,860.661925869862,3.89327615341735e-07,0.00025248026306942
"9295","ENSRNOT00000032108","Tmem195",-3.38461677144683,7.60297681907772,843.12708562181,4.11328643422331e-07,0.00025248026306942
"7361","ENSRNOT00000024622","D3ZGK7_RAT",-4.08315853450173,9.67784890108528,842.091009897639,4.12681484391553e-07,0.00025248026306942
"12792","ENSRNOT00000056680","Pxmp2",-3.58785803547256,6.51280515425893,822.216033367966,4.39859062502927e-07,0.00025248026306942
"1070","ENSRNOT00000003633","Abat",-4.04758455002176,6.41198360197837,821.439226657278,4.40970571610771e-07,0.00025248026306942
"6145","ENSRNOT00000020775","Ces1e",-3.42943250719983,6.95134010273511,819.663901507064,4.43525343376099e-07,0.00025248026306942
"7464","ENSRNOT00000024947","Tubb6",3.82838941822099,6.16244720541847,818.064205513831,4.45844807251429e-07,0.00025248026306942
"6932","ENSRNOT00000023241","Slc17a2",-4.08099872687548,5.73155638931263,805.097614369439,4.65274725046145e-07,0.000253587694658599
"3292","ENSRNOT00000011486","Angptl3",-4.72598460146078,7.32538494703322,795.153730714055,4.80970774695838e-07,0.000253587694658599
"5768","ENSRNOT00000019554","Anxa5",3.39169957927318,7.29045614098975,777.377782349622,5.10892075008753e-07,0.000260384660896128
"14994","ENSRNOT00000068043","LOC100360095",-9.83450258347029,7.28207444000599,759.549117135706,5.4352907231195e-07,0.000263087976993122
