"","ensembl_gene_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"6263","ENSRNOG00000016349","Gnmt",-6.66958290766115,6.72697910533414,1956.05336959797,6.1216597876923e-10,8.13446152588553e-06
"12046","ENSRNOG00000052810","Cyp2c11",-9.22467744321604,10.3025201507111,1423.21724240596,1.88691114472639e-09,8.35547169070549e-06
"3793","ENSRNOG00000010079","Car3",-9.15959502072741,10.9534814153295,1301.67221894955,2.58746001209826e-09,8.35547169070549e-06
"8001","ENSRNOG00000020420","Pklr",-5.93016608027699,7.68812105525944,1242.1440712406,3.05318660926924e-09,8.35547169070549e-06
"3548","ENSRNOG00000009438","Serpina6",-5.03417344957835,8.04026665993623,1188.79028604301,3.56576072120658e-09,8.35547169070549e-06
"87","ENSRNOG00000000281","Prodh1",-4.58113102066322,6.0389826322189,1169.95811880477,3.77278974595371e-09,8.35547169070549e-06
"10255","ENSRNOG00000033529","Amy1a",-4.8160864863281,8.49676957069605,1109.36665933579,4.55274743389308e-09,8.64241541451018e-06
"1711","ENSRNOG00000004391","AABR07057436.1",-4.19381644592146,7.90382098361915,993.661876971311,6.71788320412774e-09,9.53361271960067e-06
"8814","ENSRNOG00000023587","Dhtkd1",-4.13881026569693,7.91176042808556,980.686303525498,7.03699722947555e-09,9.53361271960067e-06
"9655","ENSRNOG00000028701","C8g",-3.78948145917408,6.4334297726727,975.321606007798,7.17460319054837e-09,9.53361271960067e-06
"10875","ENSRNOG00000043131","LOC100360095",-10.039323923928,8.43579198433612,908.535252216376,9.21574245285243e-09,9.79138496693937e-06
"10337","ENSRNOG00000034228","Pik3c2g",-4.76810812808938,4.51300187685196,864.516759798662,1.09806010238985e-08,9.79138496693937e-06
"3224","ENSRNOG00000008638","Angptl3",-4.85444948960026,8.0268482563512,849.898470354819,1.16613925958708e-08,9.79138496693937e-06
"2614","ENSRNOG00000007069","Adhfe1",-5.88981739433157,6.46358853488792,841.79860527883,1.20619735989208e-08,9.79138496693937e-06
"10248","ENSRNOG00000033466","Apon",-3.86798792792936,6.43114272316724,838.024824805392,1.22546291999939e-08,9.79138496693937e-06
"3513","ENSRNOG00000009350","Sez6",-7.82103487988088,6.5771493289363,834.867517572529,1.24188522281228e-08,9.79138496693937e-06
"1579","ENSRNOG00000004089","Enpp2",-3.76719193383942,5.40573397360804,828.875816495629,1.27383347964076e-08,9.79138496693937e-06
"4465","ENSRNOG00000011706","Mbl1",-3.46138593489583,7.03566300619982,798.998520170792,1.44986583148701e-08,9.79138496693937e-06
"1025","ENSRNOG00000002636","Abat",-4.0175343943125,6.51447515219729,785.241379482481,1.54140710735029e-08,9.79138496693937e-06
"6005","ENSRNOG00000015654","Ghr",-3.72963224658658,7.90723152863197,770.811325315064,1.64554112732892e-08,9.79138496693937e-06
"10888","ENSRNOG00000043201","Coq8a",-4.42209964701656,8.04337839145986,763.928724043844,1.6983867697372e-08,9.79138496693937e-06
"4187","ENSRNOG00000011019","LOC100911581",-4.11241808082395,4.69133147358131,757.028980978996,1.75356685062307e-08,9.79138496693937e-06
"4276","ENSRNOG00000011269","Sult1c3",-5.81333426138861,7.78160276348593,749.299867532405,1.81813864951067e-08,9.79138496693937e-06
"6820","ENSRNOG00000017702","Gpld1",-3.67345208372332,7.39283940372216,747.536131862385,1.8332986373361e-08,9.79138496693937e-06
"1315","ENSRNOG00000003370","Otc",-3.62077611093555,7.96792990172809,742.82863086518,1.87456222767131e-08,9.79138496693937e-06
"10477","ENSRNOG00000037446","Pxmp2",-3.43107613371245,6.48209816989664,738.251193505262,1.91583390382619e-08,9.79138496693937e-06
