,ensembl_gene_id,external_gene_id,con1_ExpCounts,con2_ExpCounts,mic1_ExpCounts,mic2_ExpCounts,mic3_ExpCounts
1,ENSRNOG00000000017,Steap1,-2.042283144,-1.0695048655,2.1946039223,2.1294777703,2.4416463878
2,ENSRNOG00000000021,AABR07061902.1,2.310710896,2.1603261053,3.0727308362,3.2217698809,2.8521276104
3,ENSRNOG00000000024,Hebp1,5.8751148225,6.0712728486,5.5553440522,5.4240357517,5.6806276343
4,ENSRNOG00000000033,Tmcc2,3.1961389079,2.0253092354,2.2710343214,2.5828511435,3.0053719946
5,ENSRNOG00000000034,Nuak2,4.5831033091,3.0948624695,3.8495134945,3.5417561385,3.7339474825
6,ENSRNOG00000000036,Klhdc8a,2.4976383037,3.1607712009,0.2814955352,0.4993671215,-0.4636832123
7,ENSRNOG00000000040,RGD1304622,0.837551073,-0.329202058,0.8284841013,1.1514761887,0.7647658111
8,ENSRNOG00000000041,Slc26a1,7.876674633,8.075616439,7.3883320226,7.1459562454,6.8956118539
9,ENSRNOG00000000042,Xpr1,3.5844963131,3.6481645777,4.679335433,4.8786239081,4.2469333474
10,ENSRNOG00000000043,Idua,4.3392428529,4.2631270899,5.2250640499,5.1573466361,5.2753162838
11,ENSRNOG00000000044,Tmem175,2.5193890138,2.6386244986,3.855731444,3.7095186696,3.8521744356
12,ENSRNOG00000000047,Cd82,5.7140248004,5.6392760845,6.4645619681,6.3096691288,6.4212784675
13,ENSRNOG00000000048,Gak,6.2281759229,6.2546759233,7.2663491331,7.2910379087,7.1649454977
14,ENSRNOG00000000053,Crp,12.1801404908,12.3269671967,9.7100686373,9.5593128538,9.3691591885
15,ENSRNOG00000000054,Abhd8,1.8085212925,1.8763395766,2.446075538,2.5165076603,2.4416463878
16,ENSRNOG00000000062,Pcgf3,2.2073030285,2.1078257099,3.5683209822,3.5626196867,3.3187170202
17,ENSRNOG00000000064,Atp5me,5.8860808297,5.6824586701,6.1260233616,5.9577194475,6.4824037828
18,ENSRNOG00000000066,Fbxo28,3.0983673003,3.5032574151,4.1670462881,4.2953090131,4.2157635591
19,ENSRNOG00000000068,Ppp2r5a,7.2581258392,7.3794060417,6.5357066114,6.6677887533,6.6897598785
20,ENSRNOG00000000070,LOC100910207,2.2824958995,3.1606423434,5.1421273377,4.9499878011,3.9799641839
21,ENSRNOG00000000073,Tmed5,4.4101736944,4.5286144954,4.7906208549,4.8276863765,4.5958242632
22,ENSRNOG00000000075,Mtf2,2.310710896,2.3072536519,3.098024028,3.1624070967,3.420649263
23,ENSRNOG00000000081,Antxr2,4.4275327732,4.1747132712,4.181969752,4.3597980198,4.0245349901
24,ENSRNOG00000000082,Hltf,3.6251870478,3.2360819566,5.0458605136,5.1687314272,5.304557308
25,ENSRNOG00000000095,Gpr89b,5.4760850721,5.3481169695,5.7914297517,5.8230984837,5.9005052457
26,ENSRNOG00000000096,Pdzk1,5.1988046444,5.0918367998,4.703669371,4.9219840239,4.9274679262
27,ENSRNOG00000000098,Rnf115,4.6409990409,4.6890973185,6.8917533059,6.5775793608,6.6800747985
28,ENSRNOG00000000104,Thoc3,4.0179106582,4.1018223117,5.0015990688,5.1542590947,5.0060911825
29,ENSRNOG00000000105,Cplx2,1.4492778538,0.3507436427,2.7021662041,2.8395712494,2.5253841857
30,ENSRNOG00000000108,Aga,4.484153931,4.5435151434,5.7452546329,5.568615512,5.9989056034
31,ENSRNOG00000000111,Coprs,1.2555309351,1.0523832331,2.4786723252,2.37390098,2.732487849
32,ENSRNOG00000000112,Champ1,4.6210188642,4.1415383145,4.8157162347,5.0335297141,4.4045165866
33,ENSRNOG00000000113,Elac1,2.3597619427,1.710197421,2.2439834856,2.6030263153,2.2580080019
34,ENSRNOG00000000121,Pigv,1.9108106527,2.0808412409,3.1188543146,3.777195607,3.3986118913
35,ENSRNOG00000000122,Ak2,7.2099582295,7.1532039511,7.1689203638,7.2601493957,7.0634171572
36,ENSRNOG00000000123,Rnf19b,2.7392198108,2.7108054595,4.5086395667,4.4032842293,4.37095547
37,ENSRNOG00000000127,Kpna6,5.6971382186,5.7779759958,6.3471306607,6.388881823,6.0881838294
38,ENSRNOG00000000130,Dnajb5,3.7863590739,3.923454571,3.9633017957,4.1785941296,3.9463302951
39,ENSRNOG00000000133,Txndc15,5.2387856089,5.23685716,5.5819544372,5.6679530773,5.7078557503
40,ENSRNOG00000000137,Ly86,1.7727471134,1.5224014728,3.2473795825,2.8753058913,3.7772920398
41,ENSRNOG00000000142,Plxdc2,-0.771168893,0.599163856,1.6816113768,1.8350239003,1.5838606095
42,ENSRNOG00000000145,Pik3r3,-0.40063611,0.3507436427,0.6681467,1.5108167447,1.0170296647
43,ENSRNOG00000000150,Dnajc1,4.7645319353,4.7374163374,5.2003573329,5.4222853439,5.3163601479
44,ENSRNOG00000000151,Ldlrap1,2.5408166652,1.9675538319,3.2568076775,3.1328914565,2.9759084402
45,ENSRNOG00000000155,Cog3,3.6049851342,3.7111093827,4.4601655196,4.9133296878,4.5059182843
46,ENSRNOG00000000156,LOC100911486,0.3474039476,0.9367460903,1.8654039048,2.037845409,1.5838606095
47,ENSRNOG00000000157,Atg12,4.830745514,5.015373791,5.8654488717,5.8294203577,5.7033233036
48,ENSRNOG00000000158,Cdo1,9.2634101316,9.5048151981,6.1453270985,5.8450485793,6.6413162012
49,ENSRNOG00000000161,Chm,3.3856916706,3.0398779197,4.4924490202,4.4514288724,4.1911030504
50,ENSRNOG00000000164,Lamp2,8.0826304068,7.9832248987,8.6024087967,8.5472981345,8.9456439088
51,ENSRNOG00000000165,Pfkfb1,4.907477046,5.8338343774,3.7327486071,3.9122508084,3.9156227535
52,ENSRNOG00000000166,Apex2,2.5408166652,2.5029063881,3.3211335534,3.7863281664,3.6801542442
53,ENSRNOG00000000167,Alas2,2.7937843721,3.953517213,-0.7543163191,0.303433963,-0.3106183763
54,ENSRNOG00000000168,Gatm,4.8180771805,4.3870940444,4.1918336507,4.3020861331,4.1634021512
55,ENSRNOG00000000169,Spata5l1,1.2048861571,1.8446066272,2.9775212312,3.0417971878,2.8353270937
56,ENSRNOG00000000170,Slc30a4,4.9238794108,5.1578807829,5.8145972505,5.8923165764,5.8030590903
57,ENSRNOG00000000172,Sqor,4.7276358794,5.0048248643,5.9980879099,6.5593786224,7.5499855721
58,ENSRNOG00000000175,Mier2,3.0543479224,2.35308247,4.3408100861,4.4031006289,3.9741643739
59,ENSRNOG00000000177,Plpp2,3.455048752,2.8768814867,5.8076539069,5.8685548215,5.6529222834
60,ENSRNOG00000000184,Tmprss6,8.544078639,8.5858520088,7.4483593181,7.3646436578,7.386105959
61,ENSRNOG00000000185,Mpst,6.1794843462,6.1771734789,5.7995001254,5.706429301,5.6714438489
62,ENSRNOG00000000186,Tst,8.004261834,8.0994286206,7.0743441712,6.8061315786,7.131806798
63,ENSRNOG00000000187,Csf2rb,3.0543479224,2.9532603008,6.1423672054,5.8693303281,5.4957446031
64,ENSRNOG00000000190,AABR07058539.1,3.0242373316,2.8924841676,3.3566431659,3.3391474043,2.5455806476
65,ENSRNOG00000000195,Vwa5a,2.2129202885,2.1590366136,4.6975550234,4.489396872,4.8279966273
66,ENSRNOG00000000201,Gsta5,10.1467905555,9.3527998642,10.4878026091,10.4171454224,10.6175780581
67,ENSRNOG00000000204,Syncrip,4.9157015386,5.0714193,6.0574502842,6.0195471303,5.8787601056
68,ENSRNOG00000000219,Ano10,4.8950517218,4.8375378244,5.2003573329,5.1061955024,5.1445105846
69,ENSRNOG00000000221,Abhd5,6.2265239753,6.0646082095,5.821888498,6.0114803605,5.8239214815
70,ENSRNOG00000000230,Lmf1,4.4672430196,4.2302275347,4.9299462004,4.9387163282,4.8882691819
71,ENSRNOG00000000231,Kctd17,-0.2458564208,-0.1912440573,1.7632622073,1.2635907904,1.0737595606
72,ENSRNOG00000000236,Zfp207,5.5725049051,5.3253055295,6.2689148976,6.3890672417,6.3950828804
73,ENSRNOG00000000237,RGD1310429,1.9108106527,1.2590899542,1.889848087,1.9399959351,1.5838606095
74,ENSRNOG00000000239,Ccl7,-2.6712702178,-2.0778818289,3.9747736046,3.519344722,4.234546126
75,ENSRNOG00000000244,Coil,1.4939055888,1.710197421,2.5279410516,2.446965641,2.3978813878
76,ENSRNOG00000000245,Slc16a6,2.2599332581,1.5224014728,4.7841152047,4.8836332858,4.1903335933
77,ENSRNOG00000000246,Amz2,4.4217695904,4.1415383145,5.3332735859,5.388679424,5.3163601479
78,ENSRNOG00000000247,Mfsd11,2.7392198108,2.9827144599,5.3922322092,5.3157438535,5.4482601821
79,ENSRNOG00000000248,Srsf2,6.5133067897,6.7850406636,7.7603703298,7.6174539065,7.6575676641
80,ENSRNOG00000000249,Mettl23,2.453127683,2.4824322549,2.6601517146,2.3986692983,3.318482291
81,ENSRNOG00000000250,Jmjd6,2.475554644,2.8290346983,4.6545840026,4.6908434614,4.836136222
82,ENSRNOG00000000257,Smpd3,3.6351829034,3.2304452474,3.2847278263,3.519344722,3.0342458504
83,ENSRNOG00000000258,Prmt7,3.4885157176,3.5726953052,5.0321175006,5.0408255484,5.1873344875
84,ENSRNOG00000000262,Zfp821,1.4939055888,1.8121599645,1.8152368115,1.2086222957,1.9897461557
85,ENSRNOG00000000264,Def8,5.6586743804,5.4332539153,5.7165019804,5.5929654178,5.2776424847
86,ENSRNOG00000000279,Rtn4ip1,4.1067975121,2.6384394439,4.389151958,4.4395424957,4.2834693644
87,ENSRNOG00000000281,Prodh1,6.6807637365,6.7353668359,3.2661745592,3.0729080463,3.0053719946
88,ENSRNOG00000000283,Ess2,2.0368080485,2.2599211328,3.7857488885,3.6795133296,3.5760008793
89,ENSRNOG00000000288,Scarf2,0.2466857824,1.1069020893,2.0284058374,1.7218104106,2.2081984689
90,ENSRNOG00000000299,Foxo3,4.0630385354,4.6204859908,4.0086516611,4.0957403091,3.2709943316
91,ENSRNOG00000000302,Sesn1,4.1700437075,4.7460303558,3.9045332076,4.0748378457,4.1314223261
92,ENSRNOG00000000303,Cep57l1,0.9698197176,1.4398578144,3.1188543146,3.1478708612,3.4530867239
93,ENSRNOG00000000304,Cd164,9.8430506769,9.8945905313,9.3413262861,9.3048794336,9.0759315074
94,ENSRNOG00000000306,Smpd2,2.8970872352,2.9383046065,3.6985633863,3.7095186696,3.7339474825
