"","ensembl_transcript_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"590","ENSRNOT00000022307","Gnmt-201",-6.639067452407,-6.64412193204764,6.71614343798041,1.48501015046238e-08,0.000163061995600047
"1631","ENSRNOT00000087017","LOC500712-208",-8.49936151925574,-8.50005833091092,11.4371553280109,2.67585805193388e-08,0.000163061995600047
"991","ENSRNOT00000047126","Abcb4-204",8.57270617997361,8.57770045052568,9.25345335730195,3.21203197967777e-08,0.000163061995600047
"1666","ENSRNOT00000088853","Cyp2c11-201",-9.19278416820168,-9.19528737331112,10.2852771953039,4.04187807102287e-08,0.000163061995600047
"365","ENSRNOT00000014180","Car3-201",-9.12747044979685,-9.12899543414954,10.9361086307422,5.17567615155947e-08,0.000163061995600047
"320","ENSRNOT00000012500","Serpina6-201",-5.00311511385792,-5.00377936952724,8.02632023803038,6.3285309600337e-08,0.000163061995600047
"55","ENSRNOT00000002576","Prodh1-201",-4.66530846116544,-4.66857782050652,5.3878579880097,7.34985609200099e-08,0.000163061995600047
"594","ENSRNOT00000022496","Amy1a-201",-4.78463840562153,-4.78505557204173,8.48235427437326,7.9693076229481e-08,0.000163061995600047
"1188","ENSRNOT00000065978","Dhtkd1-201",-4.10764994729207,-4.10804369943512,7.89897706936629,1.29136544049984e-07,0.000196313835089296
"924","ENSRNOT00000041367","Sult2a2-202",-6.6374577681563,-6.63890516367468,8.5205300767297,1.29415465346048e-07,0.000196313835089296
"1373","ENSRNOT00000077053","Cdh13-202",6.86839061313589,6.89889577211351,4.96883602338446,1.57868827773781e-07,0.000196313835089296
"1149","ENSRNOT00000061904","C8g-201",-3.75841250986023,-3.759272651095,6.4254254018877,1.68525859043686e-07,0.000196313835089296
"1755","ENSRNOT00000091845","Hao2-203",-4.38405244697979,-4.38483025287914,7.18704218808442,1.96511507870907e-07,0.000196313835089296
"1639","ENSRNOT00000087471","LOC102549726-203",4.76170480127408,4.76621925586942,5.58225669092003,2.0526483013305e-07,0.000196313835089296
"1174","ENSRNOT00000065232","AABR07057436.1-202",-4.24331211812339,-4.24395535272396,7.32170813521177,2.14337349710657e-07,0.000196313835089296
"1220","ENSRNOT00000068043","LOC100360095-201",-10.0108563786763,-10.0267818098793,8.41984723466081,2.16296471844989e-07,0.000196313835089296
"291","ENSRNOT00000011486","Angptl3-201",-4.82376180901744,-4.82435424765035,8.01311798553302,2.25144379874536e-07,0.000196313835089296
"927","ENSRNOT00000041499","Pik3c2g-201",-4.73580353137251,-4.74203873367975,4.52232691795472,2.26656138964618e-07,0.000196313835089296
"1763","ENSRNOT00000092017","Cyp2d1-204",-3.94076547782681,-3.94200786223397,6.07300972617242,2.2786748528906e-07,0.000196313835089296
"1009","ENSRNOT00000048543","Sez6-201",-7.78949324521346,-7.80201639004255,6.56717254442217,2.76823954568649e-07,0.000214193870525485
"1392","ENSRNOT00000077912","LOC100365958-203",-3.99483233738908,-3.99644022891515,5.7512110541859,2.90700492311467e-07,0.000214193870525485
"143","ENSRNOT00000005875","AABR07057436.1-201",-4.00560174258026,-4.00673758581489,6.26922995389168,2.90882900851986e-07,0.000214193870525485
"226","ENSRNOT00000009462","Adhfe1-201",-5.85830939611725,-5.8618510188132,6.45401566722073,3.13717647742128e-07,0.000214193870525485
"950","ENSRNOT00000043908","Apon-201",-3.83701338918632,-3.83792174235783,6.42317863569754,3.14048072124848e-07,0.000214193870525485
"1092","ENSRNOT00000056680","Pxmp2-201",-3.57709510657631,-3.57785076445312,6.43733492598954,3.48853988345726e-07,0.00022012825526258
"42","ENSRNOT00000001990","LOC100361492-201",5.29060850899178,5.30266535642159,4.71484764773311,3.53381814453525e-07,0.00022012825526258
"421","ENSRNOT00000015961","LOC100911581-201",-4.08229379621245,-4.08581775290434,4.69800273064784,3.84302953904911e-07,0.00022012825526258
"106","ENSRNOT00000004686","Otc-201",-3.58955423748661,-3.58982048088478,7.95585604030425,3.88992396805712e-07,0.00022012825526258
"72","ENSRNOT00000003633","Abat-201",-3.98581762994509,-3.98676957199341,6.5058399532128,3.95304508986999e-07,0.00022012825526258
"411","ENSRNOT00000015723","Mbl1-201",-3.42993403209397,-3.4303886848935,7.02597639833943,4.03436230550272e-07,0.00022012825526258
"664","ENSRNOT00000024947","Tubb6-201",3.84852249069427,3.85022580782196,6.04951496536037,4.25307523378201e-07,0.000221764379624419
"642","ENSRNOT00000024196","Gpld1-201",-3.64241724010707,-3.64282756175332,7.38185606914773,4.42941574985194e-07,0.000221764379624419
"656","ENSRNOT00000024622","Ces1f-203",-4.0790881135762,-4.07916153310387,10.2949093768827,4.50364513428747e-07,0.000221764379624419
"1542","ENSRNOT00000083500","Ces1f-206",-3.44793467552061,-3.448742661169,6.21100625724367,4.74892601992052e-07,0.000221764379624419
"978","ENSRNOT00000046169","Apoc1-201",-5.57341357454844,-5.57376028162848,9.52912445702337,4.80540434826683e-07,0.000221764379624419
"369","ENSRNOT00000014235","Acsl1-201",-3.91994827975497,-3.92000636920727,10.4767651555119,5.00544461272975e-07,0.000221764379624419
"1727","ENSRNOT00000090985","Apoc3-202",-5.36850757372751,-5.37428331643385,5.26651033897691,5.10427121305568e-07,0.000221764379624419
"749","ENSRNOT00000027700","Pklr-201",-5.77568671889565,-5.77855319218005,6.68220167673666,5.14817424749706e-07,0.000221764379624419
"179","ENSRNOT00000007825","Slc10a1-201",-5.95442166915351,-5.95542885176538,8.36837567133237,5.45397231421714e-07,0.000226587381491351
"722","ENSRNOT00000026654","Ptprn-201",5.72343854675494,5.72488665361659,8.1829942297064,5.53698775713486e-07,0.000226587381491351
"1280","ENSRNOT00000073228","Gckr-201",-3.53822094419817,-3.53854652117056,7.61527662112162,5.79731500230068e-07,0.000231454266518683
"1730","ENSRNOT00000091095","Tes-201",4.39435258969369,4.39703965275775,5.95467467643862,6.66554683363068e-07,0.000249914296779291
"828","ENSRNOT00000032108","Agmo-201",-3.34147126352198,-3.3417775520176,7.51010557680456,7.00282677908357e-07,0.000249914296779291
"810","ENSRNOT00000030135","Coq8a-201",-4.36760537291349,-4.36819227513145,7.57950762027926,7.03839386092698e-07,0.000249914296779291
"1052","ENSRNOT00000051720","Ppp1r3b-201",-4.74992225621972,-4.75065349464568,7.6369221389989,7.11135036203754e-07,0.000249914296779291
"1599","ENSRNOT00000085897","Ndrg2-203",-5.46945072987984,-5.47037071142692,8.02077539280294,7.11513653172082e-07,0.000249914296779291
"517","ENSRNOT00000019554","Anxa5-201",3.41089880720037,3.41146504751628,7.18002162508055,7.43555124489444e-07,0.000249914296779291
"133","ENSRNOT00000005561","Enpp2-201",-3.78670545235797,-3.78865817171505,5.26850603440857,7.57861729701082e-07,0.000249914296779291
"1255","ENSRNOT00000072215","Gstz1-201",-3.38816374830895,-3.38844590528309,7.67383669033777,7.5998448069294e-07,0.000249914296779291
"463","ENSRNOT00000017577","Serinc2-201",5.54296977978591,5.56935399163516,3.86526059908448,7.63376799985615e-07,0.000249914296779291
"1081","ENSRNOT00000055723","Dpyd-201",-2.92916890131109,-2.92969805390686,6.31425411287218,7.84391779785776e-07,0.000251759000849282
"900","ENSRNOT00000038780","Igf1-202",-4.68446654312075,-4.68483170834469,8.57614081807457,8.56348925668014e-07,0.000262711669071459
"559","ENSRNOT00000021081","Ghr-201",-4.2664699561296,-4.26826637402359,5.86230667280252,8.64785921158372e-07,0.000262711669071459
"1195","ENSRNOT00000066670","Cxcl12-201",-4.08555936660338,-4.0860316890518,7.61482798200569,8.8602361392323e-07,0.000262711669071459
"259","ENSRNOT00000010333","Col27a1-201",-3.79143794837433,-3.79525654474566,4.29279866918231,8.93676052649822e-07,0.000262711669071459
"895","ENSRNOT00000038610","Neurl3-201",4.46586916599488,4.47162982957495,4.93801488214796,9.18657835019382e-07,0.000262711669071459
"989","ENSRNOT00000046951","Ghr-202",-3.47822565236497,-3.4786110445337,7.312264554908,9.22425200306767e-07,0.000262711669071459
"1005","ENSRNOT00000048302","Clpx-201",-3.29540278439068,-3.29563659117442,7.85509686661216,9.34588924007088e-07,0.000262711669071459
"489","ENSRNOT00000018737","Gls2-201",-4.12741064342138,-4.1282702455044,6.79108456325538,9.46911141500157e-07,0.000262711669071459
"928","ENSRNOT00000041527","Tmem86b-201",-3.32334723125477,-3.32379813475336,6.93233527454643,1.00096497592033e-06,0.000266982135136672
"389","ENSRNOT00000015189","Sult1c3-201",-5.73249996499723,-5.7339277415191,7.64400980112052,1.0034883510669e-06,0.000266982135136672
"185","ENSRNOT00000007947","Smoc1-201",-3.07837554265993,-3.07999937887182,4.83746638253362,1.0300182208288e-06,0.000266982135136672
"508","ENSRNOT00000019237","Klkb1-201",-4.27023941009416,-4.27078880686874,7.57742936035533,1.03435160010207e-06,0.000266982135136672
"475","ENSRNOT00000018074","Rcn1-201",3.28565692823464,3.28677372223316,6.07322213588884,1.04826071690328e-06,0.000266982135136672
"205","ENSRNOT00000008840","Fabp1-201",-3.66551437882571,-3.66556682666214,10.3748490137285,1.06016487164052e-06,0.000266982135136672
"33","ENSRNOT00000001699","Ftcd-201",-3.61749496988752,-3.61789129313377,7.4084773158831,1.08503447029373e-06,0.000269104988549061
"88","ENSRNOT00000004070","Slc25a47-201",-3.73875725273193,-3.73935014381883,6.94536946636772,1.11135951165826e-06,0.000270181837270179
"1613","ENSRNOT00000086343","Gck-202",-7.97114218820695,-7.99069734442209,6.0961775504582,1.14724939461607e-06,0.000270181837270179
"1317","ENSRNOT00000074942","Apoc3-201",-4.31999581486026,-4.32007559719713,10.4118594364697,1.15149735634355e-06,0.000270181837270179
"962","ENSRNOT00000044470","Cyp2d1-201",-5.9666410646061,-5.96821625001029,7.73437449251574,1.16298359766144e-06,0.000270181837270179
"615","ENSRNOT00000023241","Slc17a2-201",-3.99539015934646,-3.99646396793863,6.33715850367801,1.19410727579899e-06,0.000270181837270179
"1058","ENSRNOT00000052243","LOC259244-203",-6.16792288487588,-6.16830475219374,9.98021707062423,1.20367619175094e-06,0.000270181837270179
"479","ENSRNOT00000018318","S1pr1-201",-3.73484127844947,-3.73552984685671,6.72624869125139,1.20491625149509e-06,0.000270181837270179
"1499","ENSRNOT00000081738","AABR07070117.1-201",-3.45291308300269,-3.45460133291154,5.15035995874696,1.2309051774595e-06,0.000272279552024791
"915","ENSRNOT00000040541","Tymp-201",-4.72903128461615,-4.72972239739217,7.69939892121644,1.26167882521644e-06,0.000275365609199571
"1493","ENSRNOT00000081488","Mug1-204",-6.25709620920406,-6.2571409796447,13.1613333907475,1.282975235743e-06,0.000276329232024699
"317","ENSRNOT00000012413","Cyp2d2-201",-4.06217460615608,-4.06228975556376,9.62906245263128,1.32406647092142e-06,0.000281475896915749
"1045","ENSRNOT00000051244","LOC100910877-201",3.9142563851283,3.91428622262444,11.943315128633,1.39694154485301e-06,0.000288717621385873
"603","ENSRNOT00000022702","Gulo-201",-3.15632339189673,-3.15641258878888,9.10918552788893,1.4079323731675e-06,0.000288717621385873
"60","ENSRNOT00000002936","Gpat3-201",4.67393841240239,4.69126257955442,3.59613574852544,1.41104586174292e-06,0.000288717621385873
"207","ENSRNOT00000008987","Cd302-201",-3.01155198398926,-3.01178858702558,7.55867580193642,1.45854030967579e-06,0.000292963821048061
"1238","ENSRNOT00000071109","Cabp2-201",-5.63891809737504,-5.64701643051382,5.04738829571171,1.50346925344783e-06,0.000292963821048061
"1144","ENSRNOT00000061686","Anxa7-201",3.69398917949696,3.69456043403205,7.46046749338506,1.50906853395033e-06,0.000292963821048061
"1460","ENSRNOT00000080185","Fdps-203",-4.98658468578471,-5.00237584841729,3.40960785766696,1.51199194552287e-06,0.000292963821048061
"1609","ENSRNOT00000086306","Coq8a-202",-4.456412112141,-4.45811530800114,6.12610680113079,1.52128564903691e-06,0.000292963821048061
"1725","ENSRNOT00000090865","Ces1d-203",-6.04493716446759,-6.04737763678905,7.1870826998222,1.56841098141449e-06,0.000298526969241556
"1595","ENSRNOT00000085680","Igf1-204",-4.00916099513239,-4.01009504370091,6.55722655534717,1.61117744637292e-06,0.000299006131584158
"1000","ENSRNOT00000047655","Ugt2b15-202",-3.77329591251025,-3.77352934425234,8.32481855417161,1.61573062138349e-06,0.000299006131584158
"1069","ENSRNOT00000054947","Notum-201",-7.05948797349953,-7.08528903108518,4.79762510025016,1.63183792437967e-06,0.000299006131584158
"230","ENSRNOT00000009611","Ttpa-201",-3.17005519793868,-3.1701650604841,8.82181202905837,1.67512877250585e-06,0.000299006131584158
"1214","ENSRNOT00000067843","Cth-201",-3.90609770890712,-3.90624263544078,9.14434740048344,1.676998942469e-06,0.000299006131584158
"490","ENSRNOT00000018761","Aadac-201",-4.01750166531656,-4.01945993512457,5.49221782261405,1.68052807781432e-06,0.000299006131584158
"403","ENSRNOT00000015516","Serpina11-201",-3.80260239241576,-3.80348701285948,6.4324495841452,1.70506236134974e-06,0.000300109309601439
"576","ENSRNOT00000021812","Ces1d-201",-5.84960023449288,-5.85220987438479,6.90058901156194,1.78830198058445e-06,0.000311411862980711
"1339","ENSRNOT00000075964","Gbe1-202",-2.96009555280809,-2.96050436647344,6.71723023586332,1.81223376451599e-06,0.00031225741569855
"1126","ENSRNOT00000060160","AABR07021096.1-201",-3.19339245385432,-3.1941389916131,6.07565533679201,1.8744571851944e-06,0.000313946238697153
"584","ENSRNOT00000022113","Ttr-201",-3.7172344250856,-3.71725413306144,11.8376845824558,1.89574027036346e-06,0.000313946238697153
"1507","ENSRNOT00000082027","Gstz1-202",-3.77643639193728,-3.77974025886477,4.48564509223782,1.89838316459889e-06,0.000313946238697153
"1581","ENSRNOT00000085245","Cyp2a3-205",-3.8069675454585,-3.80729742046581,7.85885624588953,1.92225775253763e-06,0.000313946238697153
"101","ENSRNOT00000004477","Grin2c-201",9.2715913384652,9.37636786884121,5.62191044335475,1.9424800860762e-06,0.000313946238697153
"1650","ENSRNOT00000088001","LOC100912405-201",-7.518900655639,-7.52551327043961,7.20649512220101,1.94671489487385e-06,0.000313946238697153
"912","ENSRNOT00000039954","Vtn-201",-4.69612559537655,-4.69618810949846,11.1337350978101,1.95629032604982e-06,0.000313946238697153
"1648","ENSRNOT00000087937","Adra1b-201",-3.84134525192784,-3.84434849693551,4.69501079688576,1.99627789530819e-06,0.00031462454446046
"1458","ENSRNOT00000080175","Bbox1-201",-3.97982584868544,-3.9815931283471,5.60436607338515,1.99895855726604e-06,0.00031462454446046
"329","ENSRNOT00000013045","Serpina4-201",-3.2040960245442,-3.20419200844076,9.0500721423382,2.04442667349321e-06,0.000318716383032479
"4","ENSRNOT00000000058","Crp-201",-3.65200048671642,-3.65202182613211,11.659021434328,2.06643418399934e-06,0.000319108124130992
"1265","ENSRNOT00000072465","Mug2-201",-3.89023642102813,-3.89047702772332,8.39673681480025,2.13459283323157e-06,0.000322334732025703
"553","ENSRNOT00000020908","Nol3-201",7.38581758832641,7.40729208373495,5.9798030675429,2.14568080727978e-06,0.000322334732025703
"949","ENSRNOT00000043572","Khk-201",-3.32858568090175,-3.32894025343483,7.28556672551573,2.16131187689397e-06,0.000322334732025703
"451","ENSRNOT00000017224","Parp3-201",2.92506506645268,2.92566122420068,6.59398927795552,2.16609570058204e-06,0.000322334732025703
"1525","ENSRNOT00000082855","Prodh1-202",-4.35304818511039,-4.35773181904177,4.54365009972195,2.22104900330077e-06,0.000327534694910182
"753","ENSRNOT00000027765","Slc25a24-201",3.63080841332441,3.63414098734876,4.86862973704145,2.25981179470018e-06,0.000330275529173635
"818","ENSRNOT00000031384","Aldh5a1-201",-2.88130616198217,-2.88184522826937,6.24047654711586,2.30206143719248e-06,0.000330774265992456
"765","ENSRNOT00000028102","Tkfc-201",-3.92060729397662,-3.92111764457213,7.34174417403234,2.30363897141792e-06,0.000330774265992456
"1593","ENSRNOT00000085619","Mreg-202",-3.46945014013262,-3.46983032299955,7.32281797161627,2.33644270513483e-06,0.000332567222959582
"947","ENSRNOT00000043533","Kynu-201",-4.31940485014465,-4.32020858319442,7.07955637747768,2.37837792124283e-06,0.00033308574051745
"1565","ENSRNOT00000084685","LOC500712-207",-5.29008983226422,-5.29048760867913,9.05192784593938,2.38078267704451e-06,0.00033308574051745
"1331","ENSRNOT00000075474","Ptprd-201",-3.85566391487996,-3.85640676345641,6.73274644923306,2.49689342192211e-06,0.000346369901893584
"21","ENSRNOT00000001126","Apom-201",-2.92707569046372,-2.92731744040558,7.44397806181346,2.6012383534386e-06,0.000352279419349236
