"","ensembl_transcript_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"265","ENSRNOT00000014180","Car3",-9.14524456259723,-9.14676105061129,11.0805582006035,7.99072329379185e-08,0.000451846058979364
"772","ENSRNOT00000047126","Abcb1b",7.37195144359763,7.37409429174498,9.38920284657612,1.0426983321759e-07,0.000451846058979364
"933","ENSRNOT00000065791","Pklr",-5.87380808180428,-5.87533963773212,7.80340890113916,1.47959747776751e-07,0.000451846058979364
"236","ENSRNOT00000012500","Serpina6",-5.02828130290403,-5.0289698459202,8.11902683912954,1.65867002334122e-07,0.000451846058979364
"440","ENSRNOT00000022496","Amy1a",-4.54269047672136,-4.54467862370771,6.10655905914417,1.83201211823117e-07,0.000451846058979364
"36","ENSRNOT00000002576","Prodh",-4.60972517526818,-4.61177483724924,6.12823329452417,1.94146233000663e-07,0.000451846058979364
"337","ENSRNOT00000017310","Cyp2c11",-7.61305975385267,-7.61379104319376,10.6000169225394,2.06862159114163e-07,0.000451846058979364
"922","ENSRNOT00000065021","E9PSI7_RAT",-4.86335006618463,-4.8638800475293,8.33448989438465,2.4822814458013e-07,0.000474426041328773
"104","ENSRNOT00000005875","Rdh7",-4.23415235341381,-4.23443192289217,8.63690029258661,3.26385903347338e-07,0.000554493384686755
"438","ENSRNOT00000022307","Gnmt",-6.38103018359181,-6.38522971900518,6.84807480400519,4.14517247163306e-07,0.000560590067986346
"426","ENSRNOT00000021812","Ces1d",-5.90588271290748,-5.90693329128564,8.38057473103135,4.38184760964048e-07,0.000560590067986346
"371","ENSRNOT00000019298","Cdh13",7.17260831102268,7.20782657670184,5.18147093997959,4.39966044201187e-07,0.000560590067986346
"901","ENSRNOT00000061904","C8g",-3.77854278497734,-3.77940716637881,6.55931118168076,4.92868723501052e-07,0.000579689444794699
"977","ENSRNOT00000068043","LOC100360095",-9.83450258347029,-9.86847791589962,7.28207444000599,6.27498238649505e-07,0.000620478395930847
"168","ENSRNOT00000009461","Q5M9I7_RAT",-5.15974601476839,-5.16840745972801,4.58750586448199,6.5112272411529e-07,0.000620478395930847
"937","ENSRNOT00000065978","DHTK1_RAT",-4.11983583909713,-4.12072402665808,6.85592369427901,7.97941241283323e-07,0.000620478395930847
"602","ENSRNOT00000030135","Cabc1",-4.40869938025074,-4.40914983680125,8.12115980740687,8.45924678469589e-07,0.000620478395930847
"284","ENSRNOT00000015189","Sult1c3",-5.77572478609067,-5.77729355036039,7.6705717407556,8.90552856749887e-07,0.000620478395930847
"732","ENSRNOT00000043908","Apon",-3.85644365400075,-3.85735632681785,6.55674009670944,9.11270486068005e-07,0.000620478395930847
"213","ENSRNOT00000011486","Angptl3",-4.72598460146078,-4.72695342293627,7.32538494703322,9.32444833522384e-07,0.000620478395930847
"269","ENSRNOT00000014235","Acsl1",-3.94393957619826,-3.94399611532869,10.658381238467,9.6018677586471e-07,0.000620478395930847
"75","ENSRNOT00000004686","Otc",-3.60397200536816,-3.60424424397148,8.05748479137707,9.62646491703543e-07,0.000620478395930847
"169","ENSRNOT00000009462","Adhfe1",-5.87427088342155,-5.87782658757973,6.58554707994367,9.83275232495644e-07,0.000620478395930847
"601","ENSRNOT00000030039","LOC100361347",-6.65809170973056,-6.65897624422935,9.37304665144182,1.00962699671934e-06,0.000620478395930847
"484","ENSRNOT00000024622","D3ZGK7_RAT",-4.08315853450173,-4.08328114901611,9.67784890108528,1.04250039499003e-06,0.000620478395930847
"299","ENSRNOT00000015723","Mbl1",-3.44957574914303,-3.45003263991022,7.15841551833283,1.1203754717363e-06,0.000620478395930847
"48","ENSRNOT00000003633","Abat",-4.04758455002176,-4.04873651485807,6.41198360197837,1.15665724817307e-06,0.000620478395930847
"473","ENSRNOT00000024196","Gpld1",-3.66174653199591,-3.66215876870417,7.51417644531331,1.16432088196419e-06,0.000620478395930847
"454","ENSRNOT00000023241","Slc17a2",-4.08099872687548,-4.08288118665507,5.73155638931263,1.20846629862807e-06,0.000620478395930847
"492","ENSRNOT00000024947","Tubb6",3.82838941822099,3.83007323933017,6.16244720541847,1.2402419458672e-06,0.000620478395930847
"761","ENSRNOT00000046169","Apoc1",-5.5902715322481,-5.59061452745662,9.68060699947892,1.36596377175872e-06,0.000620478395930847
"543","ENSRNOT00000026654","Ptprn",5.67193653400927,5.67336881352908,8.26520222531572,1.367057556656e-06,0.000620478395930847
"136","ENSRNOT00000007825","Slc10a1",-5.97256401216413,-5.97357473727133,8.50090147984176,1.36969481625498e-06,0.000620478395930847
"784","ENSRNOT00000048543","Sez6",-7.63617503494778,-7.64872510630737,6.53232096468312,1.37974267244269e-06,0.000620478395930847
"854","ENSRNOT00000056680","Pxmp2",-3.58785803547256,-3.58864366974635,6.51280515425893,1.56845150472357e-06,0.000663527867714579
"859","ENSRNOT00000057271","SPI21_RAT",-7.84125608321606,-7.84191718630961,10.9773748143984,1.58825982674124e-06,0.000663527867714579
"820","ENSRNOT00000052129","Sult2a1",-6.0161217683723,-6.0170102738691,8.72616733046522,1.68775654921749e-06,0.000663527867714579
"793","ENSRNOT00000049102","Tes",4.37776967821704,4.38042693570922,6.07034429779462,1.7065223783153e-06,0.000663527867714579
"94","ENSRNOT00000005561","D3ZES5_RAT",-3.80139000504322,-3.8025250970179,6.19055316865073,1.72817093263084e-06,0.000663527867714579
"615","ENSRNOT00000032108","Tmem195",-3.38461677144683,-3.38493812772833,7.60297681907772,1.74662249408664e-06,0.000663527867714579
"401","ENSRNOT00000020775","Ces1e",-3.42943250719983,-3.42995245016313,6.95134010273511,1.80981717968452e-06,0.000663527867714579
"275","ENSRNOT00000014743","NDRG2_RAT",-5.51440911455478,-5.51530490853083,8.22317815941082,1.86163198949415e-06,0.000663527867714579
"375","ENSRNOT00000019554","Anxa5",3.39169957927318,3.39226090570258,7.29045614098975,1.89137103967313e-06,0.000663527867714579
"677","ENSRNOT00000038780","Igf1",-4.76614911997079,-4.76654641247188,8.65422937972221,1.90943271284771e-06,0.000663527867714579
"357","ENSRNOT00000018641","Q9QZD1_RAT",-4.2022282984393,-4.20273580210446,7.74567093079053,2.00249956455883e-06,0.000680404852046767
"768","ENSRNOT00000046942","Hao2",-4.13051628919866,-4.13080171855208,8.5055406367999,2.06503244087662e-06,0.000686398826543553
"816","ENSRNOT00000051720","Ppp1r3b",-4.75006869455284,-4.75077667249674,7.80359310783402,2.18854746861506e-06,0.000711976399896262
"154","ENSRNOT00000008840","Fabp1",-3.68608690735751,-3.68613994625654,10.4978898703442,2.3035967162807e-06,0.000732705511545542
"376","ENSRNOT00000019625","Gck",-8.26220627617828,-8.28378049221073,6.37554693073496,2.34810791796805e-06,0.000732705511545542
"674","ENSRNOT00000038610","Neurl3",4.4433854705293,4.44908140986658,5.04603045966667,2.42946357792258e-06,0.000742929962128724
"487","ENSRNOT00000024770","Cabp2",-5.34395716774968,-5.35315567584327,4.6816976188476,2.48297342375263e-06,0.000744405169591721
"296","ENSRNOT00000015516","Serpina11",-3.97263849186947,-3.9737759580574,6.35611814033794,2.60590957616474e-06,0.000762534982905738
"368","ENSRNOT00000019237","Klkb1",-4.28671179894795,-4.2872722065305,7.68505382942879,2.6663557274574e-06,0.000762534982905738
"769","ENSRNOT00000046951","Ghr",-3.55458257745791,-3.55498198817676,7.45606151546163,2.77474343092621e-06,0.000762534982905738
"728","ENSRNOT00000043533","Kynu",-4.40204195971538,-4.40317131762855,6.78916712748529,2.7875441026089e-06,0.000762534982905738
"929","ENSRNOT00000065538","D3ZUI8_RAT",-7.64571398239954,-7.66028765142672,6.30225018907698,2.79280307669858e-06,0.000762534982905738
"711","ENSRNOT00000041957","LOC297568",-6.29370605113484,-6.29375184202021,13.2841538759833,3.02437017549309e-06,0.00081127403479455
"233","ENSRNOT00000012413","Cyp2d2",-4.08140515171126,-4.08152077408406,9.76118072879988,3.15454100185409e-06,0.000831602274454294
"60","ENSRNOT00000004070","Hdmcp",-3.74700820843078,-3.74762402545514,7.01899206159103,3.27657637691345e-06,0.000838501470805415
"897","ENSRNOT00000061686","Anxa7",3.66896395753776,3.66951170916891,7.61336161105071,3.32909339478679e-06,0.000838501470805415
"978","ENSRNOT00000068087","GGLO_RAT",-3.19916014979515,-3.19927108481936,8.95580868240602,3.38067416566424e-06,0.000838501470805415
"358","ENSRNOT00000018737","Gls2",-4.16784497115945,-4.16870339352774,6.95366779710144,3.40007136624825e-06,0.000838501470805415
"905","ENSRNOT00000063853","Ugt1a2",7.89313519072771,7.89923599029733,8.4094129882572,3.49261263656178e-06,0.000847651543063963
"18","ENSRNOT00000001699","Ftcd",-3.62876671080358,-3.62914602400584,7.6027990771402,3.61097548484436e-06,0.000862684611926097
