"","ensembl_transcript_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"385","ENSRNOT00000014180","Car3",-9.14524456259723,-9.14676105061129,11.0805582006035,7.63590908256999e-08,0.000378318689784684
"1131","ENSRNOT00000047126","Abcb1b",7.37195144359763,7.37409429174498,9.38920284657612,9.67024155261383e-08,0.000378318689784684
"1375","ENSRNOT00000065791","Pklr",-5.87380808180428,-5.87533963773212,7.80340890113916,1.28156544591201e-07,0.000378318689784684
"336","ENSRNOT00000012500","Serpina6",-5.02828130290403,-5.0289698459202,8.11902683912954,1.34574383804535e-07,0.000378318689784684
"643","ENSRNOT00000022496","Amy1a",-4.54269047672136,-4.54467862370771,6.10655905914417,1.39195516096144e-07,0.000378318689784684
"54","ENSRNOT00000002576","Prodh",-4.60972517526818,-4.61177483724924,6.12823329452417,1.48895257788101e-07,0.000378318689784684
"486","ENSRNOT00000017310","Cyp2c11",-7.61305975385267,-7.61379104319376,10.6000169225394,1.9249886707043e-07,0.000378318689784684
"1359","ENSRNOT00000065021","E9PSI7_RAT",-4.86335006618463,-4.8638800475293,8.33448989438465,1.97943068559677e-07,0.000378318689784684
"147","ENSRNOT00000005875","Rdh7",-4.23415235341381,-4.23443192289217,8.63690029258661,2.37786819561368e-07,0.000403973385677036
"1329","ENSRNOT00000061904","C8g",-3.77854278497734,-3.77940716637881,6.55931118168076,3.23792068976274e-07,0.000447709708953995
"640","ENSRNOT00000022307","Gnmt",-6.38103018359181,-6.38522971900518,6.84807480400519,3.66857254804396e-07,0.000447709708953995
"624","ENSRNOT00000021812","Ces1d",-5.90588271290748,-5.90693329128564,8.38057473103135,3.80939271207942e-07,0.000447709708953995
"542","ENSRNOT00000019298","Cdh13",7.17260831102268,7.20782657670184,5.18147093997959,3.85835811937499e-07,0.000447709708953995
"238","ENSRNOT00000009461","Q5M9I7_RAT",-5.15974601476839,-5.16840745972801,4.58750586448199,5.25682455871765e-07,0.000447709708953995
"1380","ENSRNOT00000065978","DHTK1_RAT",-4.11983583909713,-4.12072402665808,6.85592369427901,5.67228050275589e-07,0.000447709708953995
"1431","ENSRNOT00000068043","LOC100360095",-9.83450258347029,-9.86847791589962,7.28207444000599,5.9555662502373e-07,0.000447709708953995
"110","ENSRNOT00000004686","Otc",-3.60397200536816,-3.60424424397148,8.05748479137707,6.0406073985582e-07,0.000447709708953995
"1073","ENSRNOT00000043908","Apon",-3.85644365400075,-3.85735632681785,6.55674009670944,6.10967308705613e-07,0.000447709708953995
"874","ENSRNOT00000030135","Cabc1",-4.40869938025074,-4.40914983680125,8.12115980740687,6.34701068446406e-07,0.000447709708953995
"390","ENSRNOT00000014235","Acsl1",-3.94393957619826,-3.94399611532869,10.658381238467,6.60633489609583e-07,0.000447709708953995
"437","ENSRNOT00000015723","Mbl1",-3.44957574914303,-3.45003263991022,7.15841551833283,6.67184698065311e-07,0.000447709708953995
