"","ensembl_transcript_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"9","ENSRNOT00000014180","Car3",-9.14524456259723,-9.14676105061129,11.0805582006035,6.33325847296969e-08,0.000420133502535491
"25","ENSRNOT00000047126","Abcb1b",7.37195144359763,7.37409429174498,9.38920284657612,8.22039667810155e-08,0.000420133502535491
"28","ENSRNOT00000065791","Pklr",-5.87380808180428,-5.87533963773212,7.80340890113916,1.40462337822136e-07,0.000420133502535491
"8","ENSRNOT00000012500","Serpina6",-5.02828130290403,-5.0289698459202,8.11902683912954,1.49381039585859e-07,0.000420133502535491
"13","ENSRNOT00000017310","Cyp2c11",-7.61305975385267,-7.61379104319376,10.6000169225394,1.7191481620705e-07,0.000420133502535491
"17","ENSRNOT00000022496","Amy1a",-4.54269047672136,-4.54467862370771,6.10655905914417,1.9239646788858e-07,0.000420133502535491
"1","ENSRNOT00000002576","Prodh",-4.60972517526818,-4.61177483724924,6.12823329452417,2.03664860200351e-07,0.000420133502535491
"27","ENSRNOT00000065021","Amy1a",-4.86335006618463,-4.8638800475293,8.33448989438465,2.19821322451532e-07,0.000420133502535491
"4","ENSRNOT00000005875","Rdh7",-4.23415235341381,-4.23443192289217,8.63690029258661,2.67516030265744e-07,0.000454480011418137
"15","ENSRNOT00000021812","Ces1d",-5.90588271290748,-5.90693329128564,8.38057473103135,4.08834179110104e-07,0.000544261488612262
"16","ENSRNOT00000022307","Gnmt",-6.38103018359181,-6.38522971900518,6.84807480400519,4.22755095587117e-07,0.000544261488612262
"14","ENSRNOT00000019298","Cdh13",7.17260831102268,7.20782657670184,5.18147093997959,4.27150939394843e-07,0.000544261488612262
"26","ENSRNOT00000061904","C8g",-3.77854278497734,-3.77940716637881,6.55931118168076,5.27796723672454e-07,0.000605347503412464
"5","ENSRNOT00000009461","Leap2",-5.15974601476839,-5.16840745972801,4.58750586448199,6.16276854317893e-07,0.000605347503412464
"30","ENSRNOT00000068043","LOC100360095",-9.83450258347029,-9.86847791589962,7.28207444000599,6.27047306354521e-07,0.000605347503412464
"10","ENSRNOT00000014235","Acsl1",-3.94393957619826,-3.94399611532869,10.658381238467,6.38054346883352e-07,0.000605347503412464
"22","ENSRNOT00000030135","Cabc1",-4.40869938025074,-4.40914983680125,8.12115980740687,7.84451358778102e-07,0.000605347503412464
"20","ENSRNOT00000024622","D3ZGK7_RAT",-4.08315853450173,-4.08328114901611,9.67784890108528,8.1053736768261e-07,0.000605347503412464
"29","ENSRNOT00000065978","DHTK1_RAT",-4.11983583909713,-4.12072402665808,6.85592369427901,8.27282441346114e-07,0.000605347503412464
"3","ENSRNOT00000004686","Otc",-3.60397200536816,-3.60424424397148,8.05748479137707,8.60168970981258e-07,0.000605347503412464
"11","ENSRNOT00000015189","Sult1c3",-5.77572478609067,-5.77729355036039,7.6705717407556,8.72120703630476e-07,0.000605347503412464
"7","ENSRNOT00000011486","Angptl3",-4.72598460146078,-4.72695342293627,7.32538494703322,9.27692586042569e-07,0.000605347503412464
"21","ENSRNOT00000030039","LOC100361347",-6.65809170973056,-6.65897624422935,9.37304665144182,9.32728684121756e-07,0.000605347503412464
"23","ENSRNOT00000043908","Apon",-3.85644365400075,-3.85735632681785,6.55674009670944,9.59557955477144e-07,0.000605347503412464
"6","ENSRNOT00000009462","Adhfe1",-5.87427088342155,-5.87782658757973,6.58554707994367,1.00348117992389e-06,0.000605347503412464
"19","ENSRNOT00000024196","Gpld1",-3.66174653199591,-3.66215876870417,7.51417644531331,1.12588748612897e-06,0.000605347503412464
"12","ENSRNOT00000015723","Mbl1",-3.44957574914303,-3.45003263991022,7.15841551833283,1.13741403689768e-06,0.000605347503412464
"2","ENSRNOT00000003633","Abat",-4.04758455002176,-4.04873651485807,6.41198360197837,1.20583302641029e-06,0.000605347503412464
"24","ENSRNOT00000046169","Apoc1",-5.5902715322481,-5.59061452745662,9.68060699947892,1.22235061035056e-06,0.000605347503412464
"18","ENSRNOT00000023241","Slc17a2",-4.08099872687548,-4.08288118665507,5.73155638931263,1.2238471830965e-06,0.000605347503412464
