"geneNames","geneIDs.bg_rn4_filt.","feature","id","fc","pval","qval"
"Rbm14","Rbm14","transcript","1900",0.0108506608620677,0.000121108278568927,0.768686649185781
"Stn1","Stn1","transcript","2398",19.0886466374767,0.000235008810198778,0.768686649185781
"Dusp19","Dusp19","transcript","10661",1554.20750703917,0.000256846284816592,0.768686649185781
"Dusp23","Dusp23","transcript","5344",0.00505534728646792,0.0004036012114077,0.768686649185781
"Faf2","Faf2","transcript","7223",0.201672673005305,0.000528833649159344,0.768686649185781
"Capn1","Capn1","transcript","1961",6.1883463947395,0.00062827229832263,0.768686649185781
"Asmtl","Asmtl","transcript","4586",746.034655074785,0.000663036428034891,0.768686649185781
"Fbxl15","Fbxl15","transcript","2373",0.0429943518281291,0.000771727002669365,0.768686649185781
"Gdap2","Gdap2","transcript","9299",46.3066500406107,0.00084464022976749,0.768686649185781
"Rbbp7","Rbbp7","transcript","17879",77.2339546380946,0.000909231737330707,0.768686649185781
"Clec14a","Clec14a","transcript","14247",47.9739144504931,0.00100285824117652,0.768686649185781
"Epas1","Epas1","transcript","13999",0.00299699917269922,0.00131360635820654,0.768686649185781
"Eif2ak2","Eif2ak2","transcript","14670",0.000371322580771607,0.00167953229455897,0.768686649185781
"Ccnk","Ccnk","transcript","14531",0.0120831273958111,0.00167990381984384,0.768686649185781
"Rnf44","Rnf44","transcript","7222",0.000179449653610412,0.00179471865169045,0.768686649185781
"Necap1","Necap1","transcript","12573",0.137292130705012,0.0023261367468973,0.768686649185781
"RGD1309079","RGD1309079","transcript","16620",0.0772515397950678,0.0024080990389177,0.768686649185781
"Dnajc8","Dnajc8","transcript","13642",4.37769957661538,0.00254661158464375,0.768686649185781
"Tepsin","Tepsin","transcript","3907",0.0799855947175899,0.00260566732257628,0.768686649185781
"Slc2a8","Slc2a8","transcript","10424",11.0141172160808,0.00294362460556552,0.768686649185781
"Lsm1","Lsm1","transcript","6965",65.5502022992201,0.00296335394417513,0.768686649185781
"Snrpa1","Snrpa1","transcript","959",14.2242847271532,0.00312660192425351,0.768686649185781
"Arf4","Arf4","transcript","6610",3.57685306253939,0.00323545850367046,0.768686649185781
"Araf","Araf","transcript","17687",0.0385751058701214,0.00323942330143889,0.768686649185781
"Golph3l","Golph3l","transcript","10195",8.35217159344499e-06,0.00333698374233427,0.768686649185781
"Zfp574","Zfp574","transcript","548",0.0237745989747577,0.00341708921935235,0.768686649185781
"Srr","Srr","transcript","3241",0.0665114106985563,0.00345698249611215,0.768686649185781
"Lman2l","Lman2l","transcript","17077",0.00311295842758241,0.00366976784205764,0.768686649185781
"Rps18","Rps18","transcript","9862",8016.85281288136,0.00368675744863944,0.768686649185781
"Cnep1r1","Cnep1r1","transcript","8154",0.130982449078714,0.00373761513031257,0.768686649185781
"Eci2","Eci2","transcript","7329",4.19539016480563,0.00377706876185591,0.768686649185781
"Tpp1","Tpp1","transcript","1353",17.9756276066606,0.00380687383152667,0.768686649185781
"Phax","Phax","transcript","7879",47.7654231665236,0.00396190677152242,0.768686649185781
"Ptprj","Ptprj","transcript","10852",0.003037463291742,0.00409837831397408,0.768686649185781
"Flot1","Flot1","transcript","9737",390.410838146317,0.00436843032426137,0.768686649185781
"Pik3r2","Pik3r2","transcript","6757",0.0862188787167489,0.00440561871506895,0.768686649185781
"Crebl2","Crebl2","transcript","12760",0.0393455378350562,0.00442707981532942,0.768686649185781
"Mcam","Mcam","transcript","16241",1.90589020846301e-09,0.00464962051104401,0.768686649185781
"Sel1l","Sel1l","transcript","14447",0.0170965482284264,0.00476008863426236,0.768686649185781
"Synpo","Synpo","transcript","7900",0.00016445364653986,0.00481290717780136,0.768686649185781
"Cnih4","Cnih4","transcript","5414",647.963969050442,0.00491971089106169,0.768686649185781
"Gins1","Gins1","transcript","11364",29.4023969409233,0.0051412288825089,0.768686649185781
"Rad18","Rad18","transcript","12436",678.874604894676,0.00552578360184475,0.768686649185781
"Vtn","Vtn","transcript","3304",0.000150865479452557,0.00571817124956797,0.768686649185781
"Impa1","Impa1","transcript","8799",94.2741647553478,0.00624870862612714,0.768686649185781
"Ilkap","Ilkap","transcript","17416",13.7793736412227,0.00625115336479842,0.768686649185781
"Plpp1","Plpp1","transcript","8668",192.675810217066,0.00638753471133513,0.768686649185781
"Map4k5","Map4k5","transcript","14277",0.169874704004963,0.00643460028039244,0.768686649185781
"Dhfr","Dhfr","transcript","8564",0.108798197816079,0.00652493939811083,0.768686649185781
"Uspl1","Uspl1","transcript","4474",0.00023982779567388,0.00653842482675315,0.768686649185781
"Inpp5k","Inpp5k","transcript","3261",4.19884463819829,0.00656834162297726,0.768686649185781
"Fam3a","Fam3a","transcript","18243",4.13999013053509,0.00666115073709328,0.768686649185781
"Tssc4","Tssc4","transcript","1819",514.08463174758,0.00692763296079035,0.768686649185781
"Tbp","Tbp","transcript","238",17.5479563808245,0.00703650864806538,0.768686649185781
"Gtf2b","Gtf2b","transcript","9551",67.2508205226676,0.00706707277697316,0.768686649185781
