"","ensembl_gene_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"536","ENSRNOG00000016349","Gnmt",-6.66958290766115,-6.67466221206464,6.72697910533414,9.83339192273156e-10,1.30666111869257e-05
"1062","ENSRNOG00000052810","Cyp2c11",-9.22467744321604,-9.22719477915054,10.3025201507111,2.27903657148913e-09,1.38375034570178e-05
"315","ENSRNOG00000010079","Car3",-9.15959502072741,-9.16112915347046,10.9534814153295,3.12406008210818e-09,1.38375034570178e-05
"669","ENSRNOG00000020420","Pklr",-5.93016608027699,-5.93174356356553,7.68812105525944,5.45746231550602e-09,1.8129689812111e-05
"297","ENSRNOG00000009438","Serpina6",-5.03417344957835,-5.03484160462131,8.04026665993623,8.34174130306477e-09,1.93471645101554e-05
"954","ENSRNOG00000043131","LOC100360095",-10.039323923928,-10.0553108111366,8.43579198433612,1.10732047112177e-08,1.93471645101554e-05
"10","ENSRNOG00000000281","Prodh1",-4.58113102066322,-4.58307436784367,6.0389826322189,1.13926894199417e-08,1.93471645101554e-05
"886","ENSRNOG00000033529","Amy1a",-4.8160864863281,-4.81650626475047,8.49676957069605,1.16479015714361e-08,1.93471645101554e-05
"295","ENSRNOG00000009350","Sez6",-7.82103487988088,-7.83362900774941,6.5771493289363,1.77323887016698e-08,2.61808867853098e-05
"212","ENSRNOG00000007069","Adhfe1",-5.88981739433157,-5.89337874951586,6.46358853488792,2.25086145245978e-08,2.9467568857599e-05
"138","ENSRNOG00000004391","AABR07057436.1",-4.19381644592146,-4.19422996821178,7.90382098361915,2.47976950499349e-08,2.9467568857599e-05
"737","ENSRNOG00000023587","Dhtkd1",-4.13881026569693,-4.13920659930298,7.91176042808556,2.70447411685051e-08,2.9467568857599e-05
"272","ENSRNOG00000008638","Angptl3",-4.85444948960026,-4.85504526011702,8.0268482563512,2.93784473869334e-08,2.9467568857599e-05
"898","ENSRNOG00000034228","Pik3c2g",-4.76810812808938,-4.77438665249951,4.51300187685196,3.26190395596405e-08,2.9467568857599e-05
"357","ENSRNOG00000011269","Sult1c3",-5.81333426138861,-5.81469748118189,7.78160276348593,3.32641129488249e-08,2.9467568857599e-05
"811","ENSRNOG00000028701","C8g",-3.78948145917408,-3.79034740527804,6.4334297726727,3.8138319616674e-08,3.16738744416477e-05
"470","ENSRNOG00000014371","Cdh13",6.957687808297,6.98771726013457,5.08592527924724,4.23201711033223e-08,3.30794372718204e-05
"172","ENSRNOG00000005794","Slc10a1",-5.98503326360547,-5.9860458606355,8.38321407392289,5.10555815150911e-08,3.69238382691381e-05
"956","ENSRNOG00000043201","Coq8a",-4.42209964701656,-4.42253875634938,8.04337839145986,5.36290497307691e-08,3.69238382691381e-05
"326","ENSRNOG00000010389","Ndrg2",-5.02527756306111,-5.02575390769323,8.52185365590873,5.71350275326179e-08,3.69238382691381e-05
"885","ENSRNOG00000033466","Apon",-3.86798792792936,-3.86890226403452,6.43114272316724,6.02977803325638e-08,3.69238382691381e-05
"644","ENSRNOG00000019587","Ptprn",5.69242588976394,5.69385021707104,8.17152176003223,6.41919909228592e-08,3.69238382691381e-05
"69","ENSRNOG00000002636","Abat",-4.0175343943125,-4.01849318744416,6.51447515219729,6.64817668268929e-08,3.69238382691381e-05
"594","ENSRNOG00000018426","Apoc1",-5.6007713919156,-5.60111277375904,9.57193437159293,6.98479415930446e-08,3.69238382691381e-05
"128","ENSRNOG00000004089","Enpp2",-3.76719193383942,-3.76892102154658,5.40573397360804,7.07776520616527e-08,3.69238382691381e-05
"39","ENSRNOG00000001466","LOC100361492",5.25922714877244,5.2710816730763,4.71658145701913,7.43898314648518e-08,3.69238382691381e-05
"347","ENSRNOG00000011019","LOC100911581",-4.11241808082395,-4.11596188133871,4.69133147358131,7.5025860420434e-08,3.69238382691381e-05
"1169","ENSRNOG00000061527","Gck",-8.04946142761981,-8.0665142553006,6.35638085610855,8.74333629676262e-08,4.1421618984892e-05
"514","ENSRNOG00000015654","Ghr",-3.72963224658658,-3.72993329115382,7.90723152863197,9.03993791813567e-08,4.1421618984892e-05
"370","ENSRNOG00000011474","Ppp1r3b",-4.74775276420433,-4.74845077781322,7.69288446451409,9.99158331198155e-08,4.3930275381881e-05
"573","ENSRNOG00000017702","Gpld1",-3.67345208372332,-3.6738652529985,7.39283940372216,1.07372555970787e-07,4.3930275381881e-05
"379","ENSRNOG00000011706","Mbl1",-3.46138593489583,-3.46184405235909,7.03566300619982,1.09974674411121e-07,4.3930275381881e-05
"511","ENSRNOG00000015519","Ces1d",-5.98212532523775,-5.98338764940896,8.06715205481952,1.12463801100844e-07,4.3930275381881e-05
"1096","ENSRNOG00000056194","LOC100912405",-7.55019180566613,-7.55683764557162,7.21963489668992,1.12518379189277e-07,4.3930275381881e-05
"103","ENSRNOG00000003370","Otc",-3.62077611093555,-3.62104427984678,7.96792990172809,1.15710388197308e-07,4.3930275381881e-05
"637","ENSRNOG00000019470","Hao2",-4.17412878806084,-4.17439116555122,8.54291107422017,1.27542838845742e-07,4.54569397476931e-05
"591","ENSRNOG00000018371","Tubb6",3.81709580204397,3.81876841645463,6.04359332300908,1.31570264913285e-07,4.54569397476931e-05
"1053","ENSRNOG00000051952","Tes",4.36327474762845,4.36591563886202,5.94899486283822,1.33376004154223e-07,4.54569397476931e-05
"589","ENSRNOG00000018339","Cabp2",-5.6722751218044,-5.68043035320747,5.0451460232094,1.33415160307046e-07,4.54569397476931e-05
"602","ENSRNOG00000018606","Olr59",-9.11077498922383,-9.22079378756583,4.76302737062214,1.4073491097477e-07,4.56689263814237e-05
"907","ENSRNOG00000036680","Notum",-7.09302794920062,-7.11899278642085,4.79103504933093,1.46594702117867e-07,4.56689263814237e-05
"460","ENSRNOG00000014118","Klkb1",-4.30172821944054,-4.3022812926515,7.58956362053716,1.48441486555744e-07,4.56689263814237e-05
"859","ENSRNOG00000031612","Gls2",-4.15888335560477,-4.15974871415901,6.80123213884782,1.5118361849099e-07,4.56689263814237e-05
"915","ENSRNOG00000037446","Pxmp2",-3.43107613371245,-3.43173414651407,6.48209816989664,1.52262217099154e-07,4.56689263814237e-05
"442","ENSRNOG00000013589","Cxcl12",-4.11635174945324,-4.11682708686663,7.62701619798655,1.60374471382811e-07,4.56689263814237e-05
"864","ENSRNOG00000032394","Tymp",-4.76019583668174,-4.7608913214485,7.71222702321466,1.6129750233242e-07,4.56689263814237e-05
"333","ENSRNOG00000010633","Acsl1",-3.95492005078924,-3.95497619466309,10.5539914828027,1.61532174889142e-07,4.56689263814237e-05
"1010","ENSRNOG00000048874","Gckr",-3.57190607492892,-3.57223040131911,7.6452691732615,1.7467241375695e-07,4.83551465417157e-05
"556","ENSRNOG00000017180","Slc17a2",-4.02645954915097,-4.0275404099741,6.34468028685135,1.95635440514765e-07,5.17969800343101e-05
"98","ENSRNOG00000003280","Grin2c",9.24196699482632,9.3450907293821,5.61814272642881,1.95667789762923e-07,5.17969800343101e-05
"144","ENSRNOG00000004517","Igf1",-4.46040731252688,-4.46064223212168,8.98488043987446,1.98799366477259e-07,5.17969800343101e-05
"240","ENSRNOG00000007657","Col27a1",-3.82116222272427,-3.82500101450286,4.28065161350746,2.09968169359942e-07,5.36549429702868e-05
"88","ENSRNOG00000003020","Slc25a47",-3.77046310983926,-3.77106029482834,6.95546156212055,2.14472039466895e-07,5.37717822723794e-05
"997","ENSRNOG00000047708","Gstz1",-3.45564585089058,-3.45590814252253,7.83700749312655,2.19659033179838e-07,5.40523932017349e-05
"422","ENSRNOG00000012989","Serinc2",5.51271214327866,5.5386589850648,3.87693760930006,2.29867815839598e-07,5.42910555783643e-05
"725","ENSRNOG00000023116","Agmo",-3.37289618786098,-3.37320484404596,7.52095964710987,2.30128407855182e-07,5.42910555783643e-05
"503","ENSRNOG00000015366","Neurl3",4.43476438415971,4.44042589020613,4.93842400431461,2.32886075253369e-07,5.42910555783643e-05
"990","ENSRNOG00000047503","Apoc3",-4.37257199594959,-4.37265120413756,10.467715156086,2.42954972258579e-07,5.47636766790564e-05
"512","ENSRNOG00000015588","Nol3",7.35434836368368,7.37547349973537,5.97303319033382,2.43155999703817e-07,5.47636766790564e-05
"444","ENSRNOG00000013683","S1pr1",-3.76602371027343,-3.76671709671064,6.73562210747037,2.5526512492069e-07,5.55793836965189e-05
"31","ENSRNOG00000001261","Ftcd",-3.64880509910906,-3.64920425313268,7.41970331194918,2.63119648421427e-07,5.55793836965189e-05
"1138","ENSRNOG00000059330","AABR07004549.1",-7.45538750931591,-7.45737220206993,8.8766889184484,2.64609278732884e-07,5.55793836965189e-05
"965","ENSRNOG00000045799","Rup2",-7.65443342645728,-7.65476418238029,11.6619082062614,2.65349162593377e-07,5.55793836965189e-05
"1076","ENSRNOG00000054031","LOC102549726",3.91067418702714,3.91299459929086,5.67457717748599,2.70251829722234e-07,5.55793836965189e-05
"631","ENSRNOG00000019358","Esr1",-4.09233246241917,-4.09542151662654,4.87047320725531,2.71873866667198e-07,5.55793836965189e-05
"105","ENSRNOG00000003463","Srebf1",-3.61747484973833,-3.61772910656702,8.04064400468481,2.84984232069571e-07,5.7376825390007e-05
"473","ENSRNOG00000014453","Anxa5",3.37968164609886,3.38023743120151,7.17124543140774,2.99357083541473e-07,5.78274737561078e-05
"351","ENSRNOG00000011184","Slc13a4",-5.38321486542125,-5.38843051068314,5.39577259043016,2.99749305867307e-07,5.78274737561078e-05
"328","ENSRNOG00000010410","Serpina3c",-7.83916132478658,-7.83949960037149,11.8158587225272,3.0027812230369e-07,5.78274737561078e-05
"281","ENSRNOG00000008988","Cyp2d2",-4.09290803681188,-4.09302391415323,9.64354031678137,3.07000347280708e-07,5.82774373523721e-05
"452","ENSRNOG00000013950","Aadac",-4.04847781418111,-4.05044928461996,5.49433428707765,3.18117205717515e-07,5.95372032334414e-05
"840","ENSRNOG00000030225","Clpx",-3.32675069079312,-3.32698632540223,7.86644206268911,3.40927797284226e-07,6.24440358234304e-05
"834","ENSRNOG00000029993","Kynu",-4.35162766775243,-4.35243726377705,7.09074735763764,3.43047457488743e-07,6.24440358234304e-05
"313","ENSRNOG00000010031","Vtn",-4.72220121985264,-4.72226370002898,11.1540905422475,3.60052054043615e-07,6.46536715423183e-05
"1093","ENSRNOG00000055672","Gpx2",6.29335448265203,6.3083763024384,5.40403898421406,3.76377430777008e-07,6.63748755242784e-05
"505","ENSRNOG00000015438","Ces1f",-3.74603816385267,-3.74608163437808,10.7183533520421,3.79627524070226e-07,6.63748755242784e-05
"1146","ENSRNOG00000059851","AABR07070117.1",-3.48389741740413,-3.48559810301411,5.14923384139173,3.88687698313163e-07,6.64839865912445e-05
"201","ENSRNOG00000006675","Fabp1",-3.69657782170715,-3.696630634548,10.3890130107542,3.90258199436866e-07,6.64839865912445e-05
"1142","ENSRNOG00000059519","Bbox1",-4.07032283121021,-4.07192183254581,5.82209538193836,3.96772575851851e-07,6.67381517458152e-05
"189","ENSRNOG00000006094","Cd44",4.66790946906669,4.67088244362022,6.08900654171293,4.02374849670613e-07,6.68344625302887e-05
"214","ENSRNOG00000007136","Anxa7",3.66229349900513,3.66285437220848,7.45062938471608,4.14628297938323e-07,6.77151076309836e-05
"555","ENSRNOG00000017105","Dpyd",-2.96169822665911,-2.96210345145009,6.72086028553884,4.17868665392885e-07,6.77151076309836e-05
"373","ENSRNOG00000011573","Csad",-3.8691012659405,-3.86948434743379,7.69442176390482,4.31823374902381e-07,6.80385970510653e-05
"436","ENSRNOG00000013410","Spink1l",-4.7105093450065,-4.71254269027766,6.10403411049052,4.35526536198089e-07,6.80385970510653e-05
"336","ENSRNOG00000010658","Cth",-3.91112547215784,-3.91126858383978,9.16065901605823,4.35580506423564e-07,6.80385970510653e-05
