"","ensembl_gene_id","symbol","logFC","unshrunk_logFC","logCPM","PValue","FDR"
"792","ENSRNOG00000016349","Gnmt",-6.66958290766115,-6.67466221206464,6.72697910533414,8.27933534796744e-10,1.10015808103791e-05
"1561","ENSRNOG00000052810","Cyp2c11",-9.22467744321604,-9.22719477915054,10.3025201507111,2.12807180080862e-09,1.29224744519791e-05
"475","ENSRNOG00000010079","Car3",-9.15959502072741,-9.16112915347046,10.9534814153295,2.91747617067559e-09,1.29224744519791e-05
"989","ENSRNOG00000020420","Pklr",-5.93016608027699,-5.93174356356553,7.68812105525944,4.41769368459756e-09,1.46755784202331e-05
"450","ENSRNOG00000009438","Serpina6",-5.03417344957835,-5.03484160462131,8.04026665993623,6.12200551276241e-09,1.57061689118806e-05
"14","ENSRNOG00000000281","Prodh1",-4.58113102066322,-4.58307436784367,6.0389826322189,7.63595339347881e-09,1.57061689118806e-05
"1305","ENSRNOG00000033529","Amy1a",-4.8160864863281,-4.81650626475047,8.49676957069605,8.2738698361803e-09,1.57061689118806e-05
"1398","ENSRNOG00000043131","LOC100360095",-10.039323923928,-10.0553108111366,8.43579198433612,1.03600903015517e-08,1.72081099908774e-05
"208","ENSRNOG00000004391","AABR07057436.1",-4.19381644592146,-4.19422996821178,7.90382098361915,1.54256659483557e-08,1.9557651816129e-05
"447","ENSRNOG00000009350","Sez6",-7.82103487988088,-7.83362900774941,6.5771493289363,1.55859589827391e-08,1.9557651816129e-05
"1099","ENSRNOG00000023587","Dhtkd1",-4.13881026569693,-4.13920659930298,7.91176042808556,1.65792411271963e-08,1.9557651816129e-05
"322","ENSRNOG00000007069","Adhfe1",-5.88981739433157,-5.89337874951586,6.46358853488792,1.79510803646493e-08,1.9557651816129e-05
"1210","ENSRNOG00000028701","C8g",-3.78948145917408,-3.79034740527804,6.4334297726727,2.08171753866304e-08,1.9557651816129e-05
"412","ENSRNOG00000008638","Angptl3",-4.85444948960026,-4.85504526011702,8.0268482563512,2.09909323931227e-08,1.9557651816129e-05
"1319","ENSRNOG00000034228","Pik3c2g",-4.76810812808938,-4.77438665249951,4.51300187685196,2.20774215263347e-08,1.9557651816129e-05
"531","ENSRNOG00000011269","Sult1c3",-5.81333426138861,-5.81469748118189,7.78160276348593,2.67001555784555e-08,2.21744792079073e-05
"699","ENSRNOG00000014371","Cdh13",6.957687808297,6.98771726013457,5.08592527924724,3.36238968333942e-08,2.42775092766832e-05
"1304","ENSRNOG00000033466","Apon",-3.86798792792936,-3.86890226403452,6.43114272316724,3.38565760002653e-08,2.42775092766832e-05
"1400","ENSRNOG00000043201","Coq8a",-4.42209964701656,-4.42253875634938,8.04337839145986,3.53079128119894e-08,2.42775092766832e-05
"193","ENSRNOG00000004089","Enpp2",-3.76719193383942,-3.76892102154658,5.40573397360804,3.81054780143363e-08,2.42775092766832e-05
"110","ENSRNOG00000002636","Abat",-4.0175343943125,-4.01849318744416,6.51447515219729,3.91546152632601e-08,2.42775092766832e-05
"263","ENSRNOG00000005794","Slc10a1",-5.98503326360547,-5.9860458606355,8.38321407392289,4.17280258293184e-08,2.42775092766832e-05
"490","ENSRNOG00000010389","Ndrg2",-5.02527756306111,-5.02575390769323,8.52185365590873,4.20215768636148e-08,2.42775092766832e-05
"518","ENSRNOG00000011019","LOC100911581",-4.11241808082395,-4.11596188133871,4.69133147358131,4.45168869742588e-08,2.46475164214146e-05
"760","ENSRNOG00000015654","Ghr",-3.72963224658658,-3.72993329115382,7.90723152863197,4.86835781303035e-08,2.50020053818564e-05
"950","ENSRNOG00000019587","Ptprn",5.69242588976394,5.69385021707104,8.17152176003223,5.1871562874287e-08,2.50020053818564e-05
"65","ENSRNOG00000001466","LOC100361492",5.25922714877244,5.2710816730763,4.71658145701913,5.22606182040124e-08,2.50020053818564e-05
"563","ENSRNOG00000011706","Mbl1",-3.46138593489583,-3.46184405235909,7.03566300619982,5.26833346396733e-08,2.50020053818564e-05
"881","ENSRNOG00000018426","Apoc1",-5.6007713919156,-5.60111277375904,9.57193437159293,5.5295572119986e-08,2.50343649745198e-05
"846","ENSRNOG00000017702","Gpld1",-3.67345208372332,-3.6738652529985,7.39283940372216,5.65194874499995e-08,2.50343649745198e-05
"158","ENSRNOG00000003370","Otc",-3.62077611093555,-3.62104427984678,7.96792990172809,5.97233783840217e-08,2.56001371602219e-05
"549","ENSRNOG00000011474","Ppp1r3b",-4.74775276420433,-4.74845077781322,7.69288446451409,7.01334880789847e-08,2.89060086272492e-05
"1344","ENSRNOG00000037446","Pxmp2",-3.43107613371245,-3.43173414651407,6.48209816989664,7.17864452663474e-08,2.89060086272492e-05
"876","ENSRNOG00000018371","Tubb6",3.81709580204397,3.81876841645463,6.04359332300908,7.46980233949688e-08,2.91937451433043e-05
"1722","ENSRNOG00000061527","Gck",-8.04946142761981,-8.0665142553006,6.35638085610855,7.72280987136113e-08,2.92766077230642e-05
"942","ENSRNOG00000019470","Hao2",-4.17412878806084,-4.17439116555122,8.54291107422017,7.93165170101076e-08,2.92766077230642e-05
"1544","ENSRNOG00000051952","Tes",4.36327474762845,4.36591563886202,5.94899486283822,8.67228551358128e-08,2.9954609971257e-05
"1484","ENSRNOG00000048874","Gckr",-3.57190607492892,-3.57223040131911,7.6452691732615,8.83629446658903e-08,2.9954609971257e-05
"756","ENSRNOG00000015519","Ces1d",-5.98212532523775,-5.98338764940896,8.06715205481952,9.18182748856626e-08,2.9954609971257e-05
"1269","ENSRNOG00000031612","Gls2",-4.15888335560477,-4.15974871415901,6.80123213884782,9.30204863013647e-08,2.9954609971257e-05
"500","ENSRNOG00000010633","Acsl1",-3.95492005078924,-3.95497619466309,10.5539914828027,9.45143061425277e-08,2.9954609971257e-05
"685","ENSRNOG00000014118","Klkb1",-4.30172821944054,-4.3022812926515,7.58956362053716,9.51073108373104e-08,2.9954609971257e-05
"657","ENSRNOG00000013589","Cxcl12",-4.11635174945324,-4.11682708686663,7.62701619798655,9.79964877593114e-08,2.9954609971257e-05
"1616","ENSRNOG00000056194","LOC100912405",-7.55019180566613,-7.55683764557162,7.21963489668992,9.93247274924271e-08,2.9954609971257e-05
"874","ENSRNOG00000018339","Cabp2",-5.6722751218044,-5.68043035320747,5.0451460232094,1.02324921966699e-07,2.9954609971257e-05
